month,visitors,receipts,revenue,items
01/2019,9522,5848,52642,12504
02/2019,11264,6491,57380,13504
03/2019,11292,6901,61591,14380
04/2019,13802,8304,73172,18006
05/2019,14932,8655,82122,19131
06/2016,11442,6959,62644,14630
07/2019,12540,7602,69487,16130
08/2019,11066,6667,60538,14130
09/2019,12436,7544,68435,15880
10/2019,10644,6491,57906,13629
11/2019,11190,6842,61065,14255
12/2019,10218,6140,54221,13254
01/2020,,,,
02/2020,,,,
03/2020,19890,6932,73413,17367
04/2020,24664,8481,87218,21747
05/2020,26056,8526,95437,22751
06/2020,20288,7140,76350,18235
07/2020,22277,7833,83691,19277
08/2020,19492,6724,71211,16672
09/2020,21481,7348,80755,18409
